Food,Nutrition Value (per 100g),Quantity,Originated From,Calories,Protein (g),Fiber (g),Vitamin C (mg),Antioxidant Score,location
Kale,"High in Vitamins A, C, K","1 cup, chopped",Ancient Greece,49,4.3,3.6,93.4,1770,"[37.771366099999995, 21.7434170878197]"
Blueberries,High in Antioxidants,1 cup,North America,84,1.1,3.6,14.4,9621,"[51.0000002, -109.0]"
Salmon,Rich in Omega-3 Fatty Acids,3 oz,North Pacific Ocean,208,22.1,0.0,0.0,689,"[30.0, -170.0]"
Garlic,Contains Allicin,1 clove,Central Asia,4,0.2,0.1,0.9,5708,"[39.4009215, 72.8676621]"
Spinach,High in Iron and Folate,"1 cup, raw",Ancient Persia,23,2.9,2.2,28.1,1515,"[29.7810913, 51.5766156]"
Almonds,Good Source of Vitamin E,1 oz (23 nuts),Middle East,164,6.0,3.5,0.0,4454,"[39.3014159, -76.5888477]"
Broccoli,High in Vitamin C and K,"1 cup, chopped",Italy,31,2.5,2.4,81.2,1510,"[42.6384261, 12.674297]"
Avocado,Rich in Healthy Fats,1 medium,Central America,320,4.0,13.5,10.0,1922,"[-30.29284845, 153.12561585745573]"
Quinoa,Complete Protein Source,"1 cup, cooked",South America,222,8.1,5.2,0.0,1808,"[-21.0002179, -61.0006565]"
Lentils,High in Protein and Fiber,"1 cup, cooked",Middle East,230,17.9,15.6,2.1,7282,"[39.3014159, -76.5888477]"
Sweet Potato,Rich in Beta-Carotene,1 medium,Central/South America,103,2.3,3.8,22.3,14187,"[34.09198895, -117.55989250767249]"
Green Tea,High in Catechins,"1 cup, brewed",China,2,0.5,0.0,0.0,1253,"[35.0000663, 104.999955]"
Turmeric,Contains Curcumin,"1 tsp, ground",India,9,0.3,0.7,0.5,127068,"[22.3511148, 78.6677428]"
Eggs,Complete Protein Source,1 large,Worldwide,72,6.3,0.0,0.0,705,"[53.45733965, -2.226958805052226]"
Chia Seeds,High in Omega-3 and Fiber,1 oz,Central America,138,4.7,10.6,0.1,8983,"[-30.29284845, 153.12561585745573]"
Greek Yogurt,High in Protein and Probiotics,6 oz,Greece,100,17.3,0.0,0.0,1050,"[38.9953683, 21.9877132]"
Pomegranate,Rich in Antioxidants,1 medium,Middle East,234,4.7,11.3,28.8,10500,"[39.3014159, -76.5888477]"
Walnuts,Good Source of Omega-3,1 oz (14 halves),Ancient Persia,185,4.3,1.9,0.4,13541,"[29.7810913, 51.5766156]"
